Center,Status,Case Number,Application SN,Title,Patent Expiration Date
NASA Goddard Space Flight Center,Application,GSC-16008-1,13/600826,Phase controlled magnetic mirror for wavefront correction,08/31/2032
NASA Goddard Space Flight Center,Application,GSC-16016-1,13/193272,Carbon Nanotubes on titanium substrates for stray light suppression,
NASA Goddard Space Flight Center,Issued,GSC-16024-1,"13/150,316",Refinement of the HSEG Algorithm for Improved Computational Processing Efficiency,06 January 2031
NASA Goddard Space Flight Center,Application,GSC-16789-1,14/ 033725,LEARNS  (Logic Expansion for Autonomously Reconfigurable Neural Systems),
NASA Goddard Space Flight Center,Application,GSC-16029-1,13/193249,Nanostructure secondary mirror apodization mask for transmitter signal suppression in a duplex telescope.,
NASA Goddard Space Flight Center,Application,GSC-16096-1,13/211432,Prototype Genomics Based keyed-Hash Message Authentication Code Protocol,
NASA Goddard Space Flight Center,Application,GSC-16100-1,12/881587,Lunar Reconnaissance Orbiter (LRO) Command and Data Handling Flight Electronics Subsystem,
NASA Goddard Space Flight Center,Application,GSC-16105-1,13/197214,Molecular Adsorber Coating,
NASA Goddard Space Flight Center,Application,GSC-16109-1,13/240180,HEXPANDO  expanding head for fastener retention hexagonal wrench,
NASA Goddard Space Flight Center,Application,GSC-16122-1,13/474053,Apparatuses and Methods to Enable Sub-MHz Precision in Fast Laser Frequency Tuning,
NASA Goddard Space Flight Center,Application,GSC-16135-1,13/534427,A cryptographic approach to microRNA target binding analysis,
NASA Goddard Space Flight Center,Application,GSC-16146-1,13/601194,Wafer Level Microchannel Fabrication Process for Lap-on-a-Chip Devices,08/31/2032
NASA Goddard Space Flight Center,Application,GSC-16182-1,13/595604,"A High Event Rate, Zero Dead Time, Multi-Stop Time-to-digital Converter Application Specific Integrated Circuit",08/27/2032
NASA Goddard Space Flight Center,Application,GSC-16193-1,13/720175,Fine Control and Maintenance Algorithm for Visible Nulling Coronagraphy,12/19/2032
NASA Goddard Space Flight Center,Application,GSC-16223-1,13/551649,SpaceCube Mini,
NASA Goddard Space Flight Center,Application,GSC-16247-1,13/570100,Enhanced adhesion multiwalled carbon nanotubes on titanium substrates for stray light control,
NASA Goddard Space Flight Center,Application,GSC-16250-1,13/150316,Further Refinement of the Computationally Efficient HSEG Algorithm,
NASA Goddard Space Flight Center,Application,GSC-16259-1,13/050617,Spaceflight Refuiling Tools,
NASA Goddard Space Flight Center,Application,GSC-16299-1,13/622465,V-Assembly Dual Head Efficiency Resonator (VADER) Laser Transmitter,09/19/2032
NASA Goddard Space Flight Center,Application,GSC-16301-1,13/771815,"Impedance matched to vacuum, invisible-edge diffraction suppressed mirror",02/20/2033
NASA Goddard Space Flight Center,Application,GSC-16327-1,13/545173,"Miniaturized laser heterodyne radiometer for carbon dioxide (CO2), methane (CH4), and carbon monoxide (CO) measurements in the atmospheric column.",
NASA Goddard Space Flight Center,Application,GSC-16328-1,13/474367,Development of the Hilbert-Huang Transform Real-Time Data Processing System with 2-D Capabilities,
NASA Goddard Space Flight Center,Application,GSC-16438-1,13/606174,Power provision based on self-sacrificing spacecraft,
NASA Goddard Space Flight Center,Application,GSC-16460-1,13/592409,Autonomic Autopoiesis,08/23/2032
NASA Goddard Space Flight Center,Application,GSC-16461-1,13/592412,"Autonomic and Apoptotic Cloud, Autonomic and Apoptotic Grid, Autonomic and Apoptotic Highly Distributed System",
NASA Goddard Space Flight Center,Application,GSC-16485-1,14/038381,Broadband planar impedance transformer,09/26/2033
NASA Goddard Space Flight Center,Application,GSC-16516-1,14/021812,Muti-function microposters inside of microfluidic channel for Lab-On-A-Chip device,09 September 2033
NASA Kennedy Space Center,Application,KSC-12866,"12/843,353",In-Situ Wire Damage Detection System,
NASA Goddard Space Flight Center,Application,GSC-16545-1,13/534442,INTEGRATED GENOMIC AND PROTEOMIC INFORMATION SECURITY PROTOCOL,
NASA Goddard Space Flight Center,Application,GSC-16555-1,14/023847,Green Precision Cleaning System,09 November 2033
NASA Goddard Space Flight Center,Application,GSC-16569-1,"14/041,720",Mirrorlet array for Integral Field Spectrometers (IFS),
NASA Goddard Space Flight Center,Application,GSC-16674-1,14/041224,MISSE-7 Control Center,09/30/2033
NASA Goddard Space Flight Center,Application,GSC-16795-1,"13/781,121 ",Wallops Flight Facility 6U Advanced CubeSat Ejector (ACE),01 April 2033
NASA Goddard Space Flight Center,Application,GSC-16805-1,14/040924,SpaceCube v2.0 Micro,09/30/2033
NASA Goddard Space Flight Center,Application,GSC-16808-1,14/040848,SpaceCube v. 2.0 Flight Power Card,09/30/2033
NASA Goddard Space Flight Center,Application,GSC-16859-1,14/037484,Chemical sensors based on 2-dimensional materials,09/26/2033
NASA Goddard Space Flight Center,Application,GSC-16887-1,14/037458,Propellant Transfer Assembly  Design and Development,09/26/2033
NASA Headquarters,Issued,HQN-11248-1,"09/143,969",Quantitative Risk Assessment Software (QRAS) System,08/31/2018
NASA Kennedy Space Center,Issued,KSC-11641,"08/437,859",Gas-Liquid Supersonic Cleaning And Cleaning Verification Spray System,
NASA Kennedy Space Center,Issued,KSC-11751,"08/540,616",Improved Portable Ultrasonic Leak Detector (Combined With KSC-11751-2),
NASA Kennedy Space Center,Issued,KSC-11804,"08/695,071",Low-Differential Pressure Generator For Evaluating Low Differential Pressure Transducers,
NASA Kennedy Space Center,Issued,KSC-11866-1,"08/912,035",Non-Intrusive Impedance-Based Cable Tester - Standing Wave Reflectometer,
NASA Kennedy Space Center,Issued,KSC-11884,"08/772,057",A New Process And Equipment For Conversion Of NOx Scrubber Liquor To Fertilizer (related To KSC-11994),
NASA Kennedy Space Center,Issued,KSC-11884-2,"09/511,634",Process And Equipment For Nitrogen Oxide Waste Conversion To Fertilizer - Continuation-In-Part Filed 2/17/00,
NASA Kennedy Space Center,Issued,KSC-11937-2,"10/390,259",Communication System With Adaptive Noise Suppression,
NASA Kennedy Space Center,Issued,KSC-12035-1,"09/906,014",Improved Single-Station Accurate Location Of Lightning Strikes (Combined With KSC-12276 & KSC-12173),
NASA Kennedy Space Center,Issued,KSC-12049,"09/977,531",Liquid Galvanic Coatings For Protection Of Imbedded Metals,
NASA Kennedy Space Center,Issued,KSC-12056,"09/698,607",New Air Pollution Control Technology For Removal Of Nitrogen Oxides From Stationary Combustion Sources,
NASA Kennedy Space Center,Issued,KSC-12092-2,"09/939,286",Thermal Insulation System And Method (Continuing Patent Application) (Combined With KSC-12092),
NASA Kennedy Space Center,Issued,KSC-12107,"09/906,018",Thermal Insulation Test Apparatus With Sleeve (Related To KSC-12108),
NASA Kennedy Space Center,Issued,KSC-12108,"09/906,011",Multipurpose Thermal Insulation Test Apparatus (Related To 12107),
NASA Kennedy Space Center,Issued,KSC-12168,"09/802,535",Personal Cabin Pressure Monitor And Altitude Warning System,
NASA Kennedy Space Center,Issued,KSC-12190,"09/994,996","A Novel Ferromagnetic Conducting Lignosulfonic Acid-Doped Polyaniline (Related To KSC-11940, KSC-11940-1, KSC-11940-2, KSC-12154, KSC-12191)",
NASA Kennedy Space Center,Issued,KSC-12191-2,"11/215,205",Corrosion Prevention Of Cold Rolled Steel Using Water Dispersible Lignosulfonic Acid Doped Polyaniline,
NASA Kennedy Space Center,Issued,KSC-12205,"10/185,378",Apparatus And Method For Thermal Performance Testing Of Pipelines And Piping Systems,
NASA Kennedy Space Center,Issued,KSC-12220,"10/235,020",Current Signature Sensor (Combined With KSC-12152),
NASA Kennedy Space Center,Issued,KSC-12221,"10/185,830",Multisensor Transducer And Weight Factor (Combined With KSC-12359 and KSC-13139),
NASA Kennedy Space Center,Issued,KSC-12235,"10/014,140",High-Temperature Decomposition Of Hydrogen Peroxide,
NASA Kennedy Space Center,Issued,KSC-12235-2,"10/923,152",Temperature Decomposition Of Hydrogen Peroxide,
NASA Kennedy Space Center,Issued,KSC-12235-3,"10/923,163",High Temperature Decomposition Of Hydrogen Peroxide,
NASA Kennedy Space Center,Issued,KSC-12236,"10/476,175",Non-Toxic Environmentally Safe Halon Replacement (HABx),
NASA Kennedy Space Center,Application,KSC-12236-2-PCT,/0,"Flame Suppression Agent, System And Users",
NASA Kennedy Space Center,Application,KSC-12236-CIP,"13/428,736",Non-Toxic Environmentally Safe Halon Replacement (HABx),
NASA Kennedy Space Center,Issued,KSC-12246,"09/972,296",Zero-Valent Metal Emulsion For Reductive Dehalogenation Of DNAPLs,
NASA Kennedy Space Center,Issued,KSC-12246-2,"10/701,412",Zero-Valent Metal Emulsion For Reductive Dehalogenation Of DNAPLs,
NASA Kennedy Space Center,Issued,KSC-12278,"10/783,295",Image Edge Extraction Via Fuzzy Reasoning (FRED) (combined With KSC-12272),
NASA Kennedy Space Center,Issued,KSC-12386,"10/748,915","Modular Wireless Data Acquisition System (combined With KSC-12479, KSC-12486)",
NASA Kennedy Space Center,Issued,KSC-12390,"10/318,665",Thermal Insulation Test Apparatus For Flat Specimens,
NASA Kennedy Space Center,Issued,KSC-12394,"10/750,629",Hypothesis Support Mechanism For Mid-Level Visual Pattern Recognition (PIPR),
NASA Kennedy Space Center,Issued,KSC-12458,"10/440,543",UV Induced Oxidation Of Nitric Oxide,
NASA Kennedy Space Center,Issued,KSC-12490,"10/779,551",Noniterative Optimal Binarization Of Gray-Scaled Digital Images Via Fuzzy Reasoning (FRAT) (combined With KSC-12272),
NASA Kennedy Space Center,Issued,KSC-12518,"10/641,581",Hydrogen Peroxide Catalytic Decomposition,
NASA Kennedy Space Center,Issued,KSC-12539,"10/684,064",Self-Healing Wire Insulation,
NASA Kennedy Space Center,Issued,KSC-12539-2,"11/856,218",Self-Healing Wire Insulation,
NASA Kennedy Space Center,Application,KSC-12539-3,"13/348,861",Self-Healing Wire Insulation,
NASA Kennedy Space Center,Issued,KSC-12540,"10/666,821",High Performance Immobilized Liquid Membranes For Carbon Dioxide Separations,
NASA Kennedy Space Center,Issued,KSC-12630,"11/010,698",Image Processing For Binarization Enhancement Via Fuzzy Reasoning,
NASA Kennedy Space Center,Issued,KSC-12631,"11/208,122",Metallic Pigment Powder Particle For Use In A Liquid Coating System To Protect Reinforcing Steel In Concrete Structures,
NASA Kennedy Space Center,Issued,KSC-12637,"10/977,622",Micro-scale Particle Emulsion And Their Application For Removal Of PCBs And Metals Found In Ex Situ Structures,
NASA Kennedy Space Center,Issued,KSC-12664,"10/845,418",Emission Control System,
NASA Kennedy Space Center,Issued,KSC-12664-3-CIP,"11/40,294",Emission Control System,
NASA Kennedy Space Center,Issued,KSC-12666,"10/845,607",Hydrogen Peroxide Concentrator,
NASA Kennedy Space Center,Issued,KSC-12669,"11/83,420","Integrated Spaceport Automated Data Management Architecture (Combine With KSC-12581, KSC-12583, KSC-12671and KSC-12582)",
NASA Kennedy Space Center,Issued,KSC-12697,"10/962,827",A New Approach For Achieving Fire Retardancy While Retaining Physical Properties In A Compatible Polymer Matrix,
NASA Kennedy Space Center,Issued,KSC-12697-3,"11/935,093",A New Approach For Achieving Flame Retardancy While Retaining Physical Properties In A Compatible Polymer Matrix,
NASA Kennedy Space Center,Issued,KSC-12703,"12/485,979",Integral Battery Power Limiting Circuit For Intrinsically Safe Applications,
NASA Kennedy Space Center,Issued,KSC-12723,"11/239,445",Coating For Corrosion Detection And Prevention,
NASA Kennedy Space Center,Application,KSC-12723-DIV,"12/792,238",Coating For Corrosion Detection And Prevention,
NASA Kennedy Space Center,Issued,KSC-12848,"11/759,672",New Organic/inorganic Polymeric Thermal Insulators,
NASA Kennedy Space Center,Issued,KSC-12848-DIV,"12/835,233",New Organic/inorganic Polymeric Thermal Insulators,
NASA Kennedy Space Center,Application,KSC-12871-CIP,"13/915,407",Polyimide Wire Insulation Repair System,
NASA Kennedy Space Center,Application,KSC-12871-DIV1,"14/093,701",Polyimide Wire Insulation Repair System,
NASA Kennedy Space Center,Application,KSC-12871-DIV2,"14/093,680",Polyimide Wire Insulation Repair System,
NASA Kennedy Space Center,Issued,KSC-12875,"11/777,711",Self Validating Thermocouple (Combined With KSC-12865),
NASA Kennedy Space Center,Issued,KSC-12878-2-CIP,"12/465,457",Bimetallic Treatment System and it's application for Removal of PCBs Found in Ex Situ Structures without the Use of a Catalized Agent,
NASA Kennedy Space Center,Issued,KSC-12890,"11/740,357",New Organic/Inorganic Polymeric Materials,
NASA Kennedy Space Center,Application,KSC-12890-2-DIV,"12/834,416",New Organic/Inorganic Polymeric Materials,
NASA Kennedy Space Center,Issued,KSC-12899,"11/466,624",Gas Phase Oxidation Of NO To NO2,
NASA Kennedy Space Center,Issued,KSC-12978,"11/749,767",Preparation of a  Bimetal Using Mechanical Alloying for the Dehalogenation of Compounds,
NASA Kennedy Space Center,Issued,KSC-12978-DIV,"12/909,219",Preparation of a  Bimetal Using Mechanical Alloying for the Dehalogenation of Compounds,
NASA Kennedy Space Center,Issued,KSC-12983,"11/692,557",Mercury Emission Control System,
NASA Kennedy Space Center,Application,KSC-13047,"12/813,864",Insulation Test Cryostat with Lift Mechanism  (Combined with KSC-13048),
NASA Kennedy Space Center,Application,KSC-13047-DIV,"14/090,193",Insulation Test Cryostat with Lift Mechanism  (Combined with KSC-13048),
NASA Kennedy Space Center,Issued,KSC-13088,"11/935,545",Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,
NASA Kennedy Space Center,Application,KSC-13088-CON,"13/611,856",Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,
NASA Kennedy Space Center,Application,KSC-13088-DIV,"13/615,850",Improved Thermal Reactivity Of Hydrogen Sensing Pigments In Manufactured Polymer Composites,
NASA Kennedy Space Center,Application,KSC-13161,"12/855,791",PH Sensitive Microcapsule With Corrosion Indicator,
NASA Kennedy Space Center,Application,KSC-13167,"12/856,849",Watercore PH Sensitive Microcapsule,
NASA Kennedy Space Center,Application,KSC-13265-CIP2,"14/150,502",An Inductive Non-Contact Position Sensor,
NASA Kennedy Space Center,Application,KSC-13278,"13/354,576",A Method for Making Elongated Microcapsules Under Simple Shear Conditions,
NASA Kennedy Space Center,Issued,KSC-13285,"12/843,382",An improved Online Diagnostic Device (ODD) for Wiring Evaluation,
NASA Kennedy Space Center,Issued,KSC-13331,"13/031,182",A Method for Accurately Calibrating a Spectrometer Using Broadband Light,
NASA Kennedy Space Center,Application,KSC-13336,"12/843,487",Sputter Coated wire for in-situ wire damage detection,
NASA Kennedy Space Center,Application,KSC-13343,"13/278,710",Conductive Carbon Nanotube for use with Desktop Inkjet Printing,
NASA Kennedy Space Center,Application,KSC-13366,"13/523,806",High Performance Self Healing Film,
NASA Kennedy Space Center,Application,KSC-13579,"13/895,717",Green PCB Removal From Sediment Systems (GPRSS),
NASA Kennedy Space Center,Application,KSC-13588,"13/495,862",Multi-Dimensional Damage Detection For Flat Surfaces,
NASA Kennedy Space Center,Application,KSC-13592,"13/542,155",pH sensitive microparticles,
NASA Kennedy Space Center,Application,KSC-13595,"14/192,784",Aerogel insulation and composites integrated into unique lay-ups (Incorporates Embodiments from  KSC-13702),
NASA Kennedy Space Center,Application,KSC-13636,"13/546,880",Incorporation of Chemochromic Indicator for the Presence of Hypergolic Fuels into a Variety of Manufactured Parts,
NASA Kennedy Space Center,Application,KSC-13638,"14/176,824",A Two Dimensional Inductive Position Sensor,
NASA Kennedy Space Center,Application,KSC-13664,"13/896,896",Regolith Advanced Surface Systems Operations Robot (RASSOR) Excavator,
NASA Kennedy Space Center,Application,KSC-13689,"13/961,521",Coherence Multiplexing of Wireless Surface Acoustic Wave Sensors,
NASA Langley Research Center,Issued,LAR-14673-1,"08/778,066",Nonlinear Ultrasonic Scanning To Detect Material Defects,01 August 2017
NASA Langley Research Center,Issued,LAR-14840-1,"08/792,909",Variable And Fixed Frequency Pulsed Phase-Locked Loop,01/24/2017
NASA Langley Research Center,Issued,LAR-15205-1,"08/359,752","Tough, Soluble, Aromatic, Thermoplastic Copolyimides",04/21/2015
NASA Langley Research Center,Issued,LAR-15282-1,"08/712,984",Ultrasonic Periodontal Structures Mapping Device,09 September 2016
NASA Langley Research Center,Issued,LAR-15318-1,"08/806,732",Distributed Fiber-optic Strain Sensor,02/27/2017
NASA Langley Research Center,Issued,LAR-15348-1,"08/416,598","Thin Layer Composite Unimorph Ferroelectric Driver And Sensor, THUNDER",04 April 2015
NASA Langley Research Center,Issued,LAR-15348-2,"08/797,553",Thin Layer Composite Unimorph Ferroelectric Driver And Sensor,04 April 2015
NASA Langley Research Center,Issued,LAR-15351-1-CU,"08/414,661",Catalyst For Formaldehyde Oxidation,03/30/2015
NASA Langley Research Center,Issued,LAR-15370-1-SB,"08/593,438",Quasi Four-Level TM:LuAG Laser (Tm:LuAG Laser),01/27/2016
NASA Langley Research Center,Issued,LAR-15376-1,"08/754,642",Relative Phase Measurement Instrument For Multiple-Echo Systems,11/21/2016
NASA Langley Research Center,Issued,LAR-15406-1,"08/449,473",Noninvasive Meth/Apparatus For Monitoring Intracranial Pressure & Pressure Vols Index In Humans,05/23/2015
NASA Langley Research Center,Issued,LAR-15412-1,"08/511,422",Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,08 April 2015
NASA Langley Research Center,Issued,LAR-15412-2,"08/747,472",Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,08 April 2015
NASA Langley Research Center,Issued,LAR-15449-1,"09/342,462","A Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3 Bis (3-Aminophenoxyl) Benzene",06/29/2019
NASA Langley Research Center,Issued,LAR-15449-2,"09/667,426","Method To Prepare Processable Polyimides With Reactive Endgroups Using 1,3-Bix(3-Aminophenoxyl)Benzene",06/29/2019
NASA Langley Research Center,Issued,LAR-15507-1,"09/493,044",Ultrasonic Technique To Measure Intracranial Pressure,01/27/2020
NASA Langley Research Center,Issued,LAR-15508-1,"09/535,659",Distributed Rayleigh Scatter Fiber Optic Strain Sensor,03/24/2020
NASA Langley Research Center,Issued,LAR-15514-1-SB,"08/654,840",Method Of Improving A Digital Image,05/29/2016
NASA Langley Research Center,Issued,LAR-15524-1,"08/810,058",A Method And Apparatus For The Portable Identification Of Material Thickness Of Layers Using A Scanning Linear Heat Source And Infrared Detectorcramer,03 April 2017
NASA Langley Research Center,Issued,LAR-15525-1-CU,"08/845,899",Solid State Carbon Monoxide Sensor,04/28/2017
NASA Langley Research Center,Issued,LAR-15637-1,"08/673,627",Magnetically Suspended Miniature Fluid Pump And Method Of Making Same,06/26/2016
NASA Langley Research Center,Issued,LAR-15637-2,"09/398,878",Magnetically Suspended Miniature Fluid Pump And Method Of Designing The Same,06/26/2019
NASA Langley Research Center,Issued,LAR-15652-1-CU,"08/991,075",Catalyst For Oxidation Of Hydro-Carbons And Volatile Organic Compounds,12/16/2017
NASA Langley Research Center,Application,LAR-15665-1-CU,"08/838,596",Catalyst For Carbon Monoxide Oxidation,
NASA Langley Research Center,Issued,LAR-15745-1,"09/093,826",Prepreg And Composites Made From Polyimide  Salt-Like  Solution,05/29/2018
NASA Langley Research Center,Issued,LAR-15747-1-CU,"09/357,403",One-Atmosphere Uniform Glow Discharge Plasma Gas Flow Acceleration,07/20/2019
NASA Langley Research Center,Issued,LAR-15767-1,"09/316,428",Polyimide Foam From Ether-Containing Monomeric Solutions,05/21/2019
NASA Langley Research Center,Issued,LAR-15816-1,"09/430,677",Macro-Fiber Composite Actuator With Interdigitated Electrodes,10/29/2019
NASA Langley Research Center,Issued,LAR-15816-2,"10/653,824",A Method For Fabricating A Piezoelectric Composite Apparatus,06/30/2020
NASA Langley Research Center,Issued,LAR-15817-1,"09/612,412",A Method Of Encouraging Physiological Self-Regulation Through Modulation Of An Operator's Control Input To A Video Game Or Training Simulator,07 December 2020
NASA Langley Research Center,Issued,LAR-15818-3,"10/465,386",Optical Path Switching Based Differential Absorption Radiometry For Substance Detection,06/21/2019
NASA Langley Research Center,Issued,LAR-15831-1,"09/316,865",Hollow Polyimide Microspheres,05/21/2019
NASA Langley Research Center,Issued,LAR-15831-2,"09/408,652",Hollow Polyimide Microspheres,05/21/2019
NASA Langley Research Center,Issued,LAR-15831-3,"09/394,534",Hollow Polyimide Microsphere,05/21/2019
NASA Langley Research Center,Issued,LAR-15834-1,"09/575,826",High Performance / High Temperature Resins For Infusion And Transfer Molding Processes,05/18/2020
NASA Langley Research Center,Issued,LAR-15851-1-CU,"09/607,211",Process For Coating Substrates With Catalyst Materials,05 November 2021
NASA Langley Research Center,Issued,LAR-15854-1,"10/94,023",Technique For Non-Invasive Absolute Measurement Of Intra-Cranial Pressure In Humans,07/28/2022
NASA Langley Research Center,Issued,LAR-15927-1,"10/263,292",Dielectric Electrostatic Ultrasonic Transducer (DEUT),09/30/2022
NASA Langley Research Center,Issued,LAR-15934-1,"09/535,661",Edge Triggered Apparatus And Method For Measuring Strain In Bragg Gratings,03/24/2020
NASA Langley Research Center,Issued,LAR-15943-1,"10/121,932",Transducer Assembly To Measure Changes In Circumferential Expansion Of The Human Skull Due To Changes In Intracranial Pressure,11/16/2022
NASA Langley Research Center,Issued,LAR-15954-1,"09/606,120",Single Laser Sweep Full S-Parameter Characterization Of Fiber Bragg Gratings,06/15/2020
NASA Langley Research Center,Issued,LAR-15959-1,"09/753,370",Structural Tailored High Displacement Ferro-Electric Sensors And Actuators,01 February 2021
NASA Langley Research Center,Issued,LAR-15977-1,"09/337,475",Polyimide Foam From Monomeric Solutions,05/21/2019
NASA Langley Research Center,Issued,LAR-15990-1,"09/784,413",Dual Transmission Interface For Passive Fetal Heart Monitoring,02/13/2021
NASA Langley Research Center,Issued,LAR-16001-1,"10/975,117",Catalyst For Treatment And Control Of Post-Combustion Emissions,10/25/2024
NASA Langley Research Center,Issued,LAR-16005-1,"09/648,529",High Precision Solid State Wavelength Monitor,11/26/2020
NASA Langley Research Center,Issued,LAR-16012-1-CU,"09/888,701",Improvement To The Multiscale Retinex With Color Restoration,06/25/2021
NASA Langley Research Center,Issued,LAR-16020-1,"09/758,115",Single Vector Force Balance Calibration System,01/26/2022
NASA Langley Research Center,Issued,LAR-16079-1,"09/757,398","Liquid Crystalline Thermosets From Oligo-Esters, Ester-Imides And Ester-Amides",01 May 2021
NASA Langley Research Center,Issued,LAR-16083-1,"11/536,811",A Method And System For Multi-Player Game Playing Where Physiological Characteristics Of The Players Modulate Their Relative Advantage Over Opponents Or Competitors,05/22/2030
NASA Langley Research Center,Issued,LAR-16116-1,"10/21,683",Giant Magnetoresistive Based Self-Nulling Probe For Deep Flaw Detection,11/28/2021
NASA Langley Research Center,Issued,LAR-16176-2,"10/988,407",Space Environmentally Durable Polyimides And Copolyimides,03 March 2025
NASA Langley Research Center,Issued,LAR-16220-1,"09/696,527","Shaping, Tuning, And Positioning Membrane Structures Using Electroactive Polymer Actuators",10/23/2020
NASA Langley Research Center,Issued,LAR-16231-1-CU,"09/997,113",MEMS Based Acoustic Array,11/28/2021
NASA Langley Research Center,Issued,LAR-16256-1,"11/129,756","Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices",08/27/2029
NASA Langley Research Center,Application,LAR-16256-1-CON,"14/153,434","Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices",05/13/2025
NASA Langley Research Center,Issued,LAR-16299-1,"10/956,520",Composite Roll Press And Processes,12 July 2025
NASA Langley Research Center,Issued,LAR-16307-1-SB,"10/056,845",Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,01/22/2022
NASA Langley Research Center,Issued,LAR-16307-2,"10/956,515",Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,04/16/2027
NASA Langley Research Center,Application,LAR-16308-2,"12/726,403",Catalyst For Decomposition Of Nitrogen Oxides (Divisional of LAR 16308-1-CU),
NASA Langley Research Center,Issued,LAR-16311-1,"10/115,812","Heat, Moisture, Chemical Resistant Polyimide Compositions And Methods For Making And Using The Same",04 January 2022
NASA Langley Research Center,Issued,LAR-16323-1,"11/27,930",Method To Linearize Non-Linear Physical Measurements,06/24/2025
NASA Langley Research Center,Issued,LAR-16324-1,"10/011,229",Proximity Sensor,11/27/2021
NASA Langley Research Center,Issued,LAR-16324-2,"10/783,486",Self-Activating System And Method For Alerting When An Object Or Person Is Left Unattended,11/27/2021
NASA Langley Research Center,Issued,LAR-16326-1,"10/410,605",Method For Measuring Thickness Of Small Radius Of Curvature Structures Using A Thermal Line Scanner,04 October 2023
NASA Langley Research Center,Issued,LAR-16332-1-CU,"09/888,816",Method Of Improving A Digital Image Having White Zones,06/25/2021
NASA Langley Research Center,Issued,LAR-16363-1,"10/390,675",Radial Electric Field Piezo-Diaphragm Fluidic Control Systems,03/13/2023
NASA Langley Research Center,Issued,LAR-16383-1-NP,"10/288,797","Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",07 February 2023
NASA Langley Research Center,Issued,LAR-16383-2,"12/546,724","Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",10 December 2029
NASA Langley Research Center,Issued,LAR-16390-1-SB,"10/342,660",Ruthenium Stabilization Mechanism For Next Generation Oxidation And Reduction Catalyst Systems,01/13/2023
NASA Langley Research Center,Issued,LAR-16393-1,"10/392,491",Sonic Transducers And Sensors Using Radial Field Diaphragms,05/31/2023
NASA Langley Research Center,Issued,LAR-16406-1-CU,"10/805,816","Ultrasonic Method And Means To Assess Compartment Syndrome (Hyper Pressure States In Arm, Leg Muscle/Tendon Compartments)",09/20/2025
NASA Langley Research Center,Issued,LAR-16409-1,"11/536,790",Wet Active Chevron Nozzle For Controllable Jet Noise Reduction,09/17/2028
NASA Langley Research Center,Issued,LAR-16432-1,"10/188,525",Synthesis Of Carbon Nanotubes Using High Average Power Ultrafast Laser Ablation,07 March 2022
NASA Langley Research Center,Issued,LAR-16437-1-NP,"11/129,751",Templated Growth Of Carbon Nanotubes,05 November 2025
NASA Langley Research Center,Issued,LAR-16440-1,"10/263,285",Method Of Determining Intracranial Pressure From Skull Expansion Measurements,09/25/2022
NASA Langley Research Center,Issued,LAR-16475-1,"10/890,843",Carbon Nanotube-Based Structural Health Monitoring Sensor,08 July 2024
NASA Langley Research Center,Issued,LAR-16496-1,"10/867,114",Blown Channel-Wing System For Thrust Deflection And Force/Moment Generation,10 March 2024
NASA Langley Research Center,Issued,LAR-16499-1,"10/730,188",Method for the controlled deposition and alignment of single walled carbon nanotubes,11/15/2025
NASA Langley Research Center,Issued,LAR-16510-1,"10/263,286",Non-Invasive Method Of Determining Absolute Intracranial Pressure,12/25/2022
NASA Langley Research Center,Issued,LAR-16516-1,"10/675,502",Autonomous Health Monitoring Architecture Hardware,09/30/2023
NASA Langley Research Center,Issued,LAR-16517-1,"10/678,474",Partial-Span Slotted Wing For Transonic Aircraft,10 March 2023
NASA Langley Research Center,Issued,LAR-16532-1,"11/5,624",Low-Noise Fan Exit Guide Vanes,12 June 2024
NASA Langley Research Center,Issued,LAR-16538-1,"12/129,967",Micro-LiDAR For In-Flight Flow Velocimetry And Boundary Layer Control,11 November 2028
NASA Langley Research Center,Issued,LAR-16549-1,"10/943,655","Inductor (L)-Capacitor ( C ) (aka, LC) Sensor Circuit For Piezo Material Monitoring",04/17/2025
NASA Langley Research Center,Application,LAR-16565-1,"13/020,025",e-Sensor: Quantitative Imaging of Electric Fields and Electric Potentials,
NASA Langley Research Center,Issued,LAR-16566-1,"10/975,119",Method And Apparatus For Loss Of Control Inhibitor Systems,10/27/2024
NASA Langley Research Center,Issued,LAR-16571-1,"10/839,448",LC Sensing Element For Closed Cavities Having Low Radio Frequency Transmissivity,04/30/2024
NASA Langley Research Center,Issued,LAR-16571-2,"11/421,886",Magnetic Field Response Sensor For Conductive Media,09/26/2024
